Provincia,Departamento,Cant_EE,Cant_Biblioteca_Popular,Población
Buenos Aires,General Lavalle,9,1,4846
Buenos Aires,Monte Hermoso,9,1,8444
Corrientes,Berón de Astrada,9,0,2808
Córdoba,Sobremonte,9,0,4381
La Rioja,Vinchina,9,0,2695
Chubut,Telsen,8,2,1608
Jujuy,San Antonio,8,1,6729
Buenos Aires,Salliqueló,8,0,9344
Santa Cruz,Magallanes,8,0,12828
Tierra del Fuego,Tolhuin,8,0,6027
Chubut,Paso de Indios,7,0,1882
La Pampa,Chical Co,7,0,1461
San Juan,Ullum,6,1,6454
La Pampa,Curacó,6,0,1103
La Rioja,General Lamadrid,6,0,1885
San Juan,Zonda,5,1,6674
La Pampa,Chalileo,5,0,2868
La Pampa,Caleu Caleu,4,1,2611
Chubut,Florentino Ameghino,4,0,1782
La Pampa,Limay Mahuida,4,0,413
Buenos Aires,Tordillo,3,1,2528
La Pampa,Lihuel Calel,3,1,428
La Rioja,Sanagasta,3,1,2994
Chubut,Mártires,3,0,744
Tierra del Fuego,Río Grande,0,0,98922
